AMI Id,AMI Name,Creation Date,SNAPSHOT Count,SNAPSHOT Size (in GB),Deleted By
ami-037e89c7209a1c0ea,SAPXS4CIPA_New_AMI_16_Dec_2021,2021-12-16T12:27:38.000Z,4,350,Vaibhav
ami-03a5f0e4bda455607,SAPXBJCIPA_AMI_19_Nov_2021,2021-11-19T16:51:23.000Z,5,262,Vaibhav
ami-03e1366ade3672c0a,SAPTRDAP01_PostPatch_17022022,2022-02-17T11:25:44.000Z,3,232,Vaibhav
ami-03ec89c8312f46996,SAPXDSAP01_AMIBackup_9_Dec_2021,2021-12-09T18:17:49.000Z,6,944,Vaibhav
ami-03ed4d403b3dc830c,SAPXB4DB01_AMI_30Dec2021,2021-12-29T21:48:11.000Z,10,4176,Vaibhav
ami-03f7ee147f36e3349,SAPXS4AP01_Post-AMI_14022022,2022-02-14T14:52:08.000Z,7,664,Vaibhav
ami-03f95c5a5eda5d13c,SAPDSUSEVUL_AMI_25112021,2021-11-25T09:16:42.000Z,2,200,Vaibhav
ami-0404c442c4eaa0132,SAPXGRCIPA_AMI_30Dec2021,2021-12-29T21:50:42.000Z,7,502,Vaibhav
ami-04092e0e8eb24c1dc,SAPXDSDB01_AMIBackup_9_Dec_2021,2021-12-09T18:18:26.000Z,11,2977,Vaibhav
ami-040b569f34a2e07d6,AdhocAMI_SAPDF4DB01_31March2021,2021-03-31T06:51:37.000Z,11,2627,Vaibhav
ami-0426f3fb5d74d94a3,SAPXS4MS01_AMI_23_Dec_2021,2021-12-23T16:15:10.000Z,5,334,Vaibhav
ami-04275581a3125542a,SAPDWDAP01_PostPatchAMI_17022022,2022-02-17T09:36:32.000Z,5,236,Vaibhav
ami-045913d1c3cabc00c,SAPXGRDB01_AMIBackup_9_Dec_2021,2021-12-09T18:15:56.000Z,10,1207,Vaibhav
ami-046d49fffb6d44052,SAPDSODB01_PostPatchAMI_17022022,2022-02-17T09:40:29.000Z,10,2882,Vaibhav
ami-0470fc2d9b36f0dfc,SAPDMICIPA - INC16323454,2020-07-14T20:11:13.000Z,5,277,Vaibhav
ami-0485e8186eb6d7f72,SAPXS4DB03_new0402,2022-02-04T16:02:52.000Z,13,4376,Vaibhav
ami-04a7ba960b9085dc5,SAPXS4CIPA-test-9dec,2021-12-09T17:40:09.000Z,6,534,Vaibhav
ami-04a7e9e9d6c0c1d2c,SAPDGRDB01-09032021,2021-03-09T13:44:08.000Z,10,1207,Vaibhav
ami-04c76336b272113c0,SAPDWDAP01_190821,2021-08-19T07:42:42.000Z,5,236,Vaibhav
ami-04f8255b102ac41d2,AMIBackup_SAPGSDDB01_11-10-2021,2021-03-11T04:32:35.000Z,4,600,Vaibhav
ami-0510094a1f5f2b200,SAPXBJCIPA_Post-AMI_14022022,2022-02-14T14:47:52.000Z,5,262,Vaibhav
ami-05226618e5efdf83b,SAPXS4DB01_13_11_2021,2021-11-12T19:56:41.000Z,10,4176,Vaibhav
ami-0524a735d7cd1f54d,AMIBackup_SAPGSDAP01_17thFeb2022_PostReboot,2022-02-17T10:45:12.000Z,2,250,Vaibhav
ami-05311a91712bdad07,SAPDF4CIPA_PostPatch_17022022,2022-02-17T11:17:06.000Z,6,602,Vaibhav
ami-0540ec1e6be28ebab,SAPXB4CIPA_PrePatch_1601222,2022-01-16T08:47:08.000Z,7,502,Vaibhav
ami-0541cf2593991fe9b,SAPDB4CIPA_PostPatchAMI_17022022,2022-02-17T09:45:07.000Z,5,302,Vaibhav
ami-0545e38e9064aa2da,SAPDBJCI_PostPatchAMI_17022022,2022-02-17T09:47:23.000Z,5,262,Vaibhav
ami-0563924a72673a18b,SAPEB4CIPA_25022022,2022-02-25T08:21:28.000Z,8,350,Vaibhav
